,Unnamed: 0,dock_id,dock_name,month,num_day,hour,latitude,longitude,avail_bikes,tot_docks,avail_bikes_proportion,tmp,rain,weekday_cluster,weekend_cluster
42,2545870,336,Sullivan St & Washington Sq,4,6,6,40.73047747,-73.99906065,27,36,0.75,12.2,0,2,0
43,2004309,337,Old Slip & Front St,12,4,5,40.7037992,-74.00838676,18,37,0.4864864864864865,-0.6,0,5,1
44,1248222,343,Clinton Ave & Flushing Ave,9,7,12,40.697940002027366,-73.96986851823347,13,23,0.5652173913043477,20.6,0,2,0
45,2822245,345,W 13 St & 6 Ave,6,3,21,40.73649403,-73.99704374,1,35,0.0285714285714285,30.0,0,1,2
46,309169,353,S Portland Ave & Hanson Pl,8,3,20,40.68539567866734,-73.9743145754883,7,27,0.2592592592592592,21.7,1,2,3
47,2760796,354,Emerson Pl & Myrtle Ave,10,3,6,40.69363143664459,-73.9622355685286,13,23,0.5652173913043477,20.0,0,4,0
48,2229780,355,Bayard St & Baxter St,8,7,22,40.71602118,-73.99974372,1,43,0.0232558139534883,22.2,1,2,3
49,1568299,357,E 11 St & Broadway,12,5,14,40.73261787,-73.99158043,21,27,0.7777777777777777,6.1,0,0,2
50,109325,363,West Thames St,7,4,21,40.70834698,-74.01713445,25,49,0.510204081632653,27.8,0,1,2
51,2209489,364,Lafayette Ave & Classon Ave,7,2,16,40.68900442989051,-73.96023850939078,2,27,0.074074074074074,30.0,0,1,2
52,1386292,365,Fulton St & Grand Ave,2,5,23,40.68223166,-73.9614583,15,31,0.4838709677419355,0.6,0,1,0
53,67910,368,Carmine St & 6 Ave,5,3,10,40.73038599,-74.00214988,23,39,0.5897435897435896,17.8,0,2,0
54,2448994,369,Washington Pl & 6 Ave,6,4,20,40.73224119,-74.00026394,20,35,0.5714285714285714,19.4,0,1,0
55,964280,372,Franklin Ave & Myrtle Ave,3,1,0,40.69453931163692,-73.95804187898645,5,27,0.1851851851851851,3.9,0,2,0
56,690429,373,Willoughby Ave & Walworth St,10,6,8,40.69331716,-73.95381995,5,19,0.263157894736842,16.7,1,2,0
57,2183772,386,Centre St & Worth St,11,4,5,40.71494807,-74.00234482,12,43,0.2790697674418604,13.3,0,5,2
58,997994,389,Broadway & Berry St,11,5,2,40.71044554,-73.96525063,16,27,0.5925925925925924,0.6,0,1,0
59,469746,390,Duffield St & Willoughby St,1,2,14,40.69221588786423,-73.9842843872936,29,31,0.9354838709677418,-4.4,0,5,2
60,62665,392,Jay St & Tech Pl,3,2,5,40.695065,-73.987167,28,35,0.8,1.1,0,2,0
61,48666,396,Lefferts Pl & Franklin Ave,5,4,23,40.68034241747458,-73.95576894290983,7,25,0.28,14.4,1,4,0
62,1681592,397,Fulton St & Clermont Ave,11,2,15,40.68415748,-73.96922273,11,27,0.4074074074074073,10.0,1,1,0
63,1459647,399,Lafayette Ave & St James Pl,9,7,11,40.68851534,-73.9647628,19,27,0.7037037037037037,20.0,0,1,2
64,743041,400,Pitt St & Stanton St,8,7,15,40.71926081,-73.98178024,11,15,0.7333333333333332,22.8,0,4,0
65,116185,406,Hicks St & Montague St,9,7,12,40.69512845,-73.99595065,8,34,0.2352941176470588,20.6,0,1,0
66,203291,408,Market St & Cherry St,10,1,12,40.71076228,-73.99400398,13,23,0.5652173913043477,7.8,0,4,0
