,cluster,dock_id,start_station_id,station_name,lat,lon
142,5,528,528.0,2 Ave & E 31 St,40.74290902,-73.97706058
143,6,539,539.0,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
144,4,546,546.0,E 30 St & Park Ave S,40.743,-73.98303529
145,6,2001,2001.0,7 Ave & Farragut St,40.69892054,-73.979927
146,7,2002,2002.0,Wythe Ave & Metropolitan Ave,40.716,-73.963198
147,3,2003,2003.0,1 Ave & E 18 St,40.73381219,-73.98054421
148,6,2005,2005.0,Railroad Ave & Kay Ave,40.70531194,-73.97100056
149,4,2012,2012.0,E 27 St & 1 Ave,40.739445,-73.976806
150,5,2017,2017.0,E 43 St & 2 Ave,40.75022392,-73.97121414
151,1,3016,3016.0,Kent Ave & N 7 St,40.72036775298455,-73.9643383026123
152,5,3042,3042.0,Fulton St & Utica Ave,40.6794268,-73.9298911
153,2,3044,3044.0,Albany Ave & Fulton St,40.6800105,-73.938475
154,7,3046,3046.0,Marcus Garvey Blvd & Macon St,40.682601,-73.938037
155,7,3047,3047.0,Halsey St & Tompkins Ave,40.6823687,-73.944118
156,7,3048,3048.0,Putnam Ave & Nostrand Ave,40.68402,-73.94977
157,2,3050,3050.0,Putnam Ave & Throop Ave,40.6851532,-73.94111
158,7,3056,3056.0,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465
159,3,3057,3057.0,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416
160,2,3058,3058.0,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428
161,2,3059,3059.0,Pulaski St & Marcus Garvey Blvd,40.6933982,-73.939877
162,7,3060,3060.0,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915
163,2,3061,3061.0,Throop Ave & Myrtle Ave,40.69622937,-73.94371094
164,6,3062,3062.0,Myrtle Ave & Marcy Ave,40.695,-73.95
165,1,3063,3063.0,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108
166,7,3064,3064.0,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
167,6,3066,3066.0,Tompkins Ave & Hopkins St,40.69957608,-73.94708417
168,1,3067,3067.0,Broadway & Whipple St,40.7016657,-73.9437303
169,1,3068,3068.0,Humboldt St & Varet St,40.7031724,-73.940636
170,1,3069,3069.0,Lorimer St & Broadway,40.70411791,-73.94818595
171,7,3070,3070.0,McKibbin St & Manhattan Ave,40.70510918,-73.94407279
172,7,3071,3071.0,Boerum St & Broadway,40.70538077,-73.94976519
173,7,3072,3072.0,Leonard St & Boerum St,40.70583339,-73.947
174,2,3073,3073.0,Division Ave & Hooper St,40.70691254,-73.95441667
175,7,3074,3074.0,Montrose Ave & Bushwick Ave,40.707,-73.941
176,5,3075,3075.0,Division Ave & Marcy Ave,40.70708701,-73.95796783
177,2,3076,3076.0,Scholes St & Manhattan Ave,40.70870368,-73.9448625
178,2,3077,3077.0,Stagg St & Union Ave,40.70877084,-73.95095259
179,2,3080,3080.0,S 4 St & Rodney St,40.70934,-73.95608
180,2,3081,3081.0,Graham Ave & Grand St,40.711863,-73.944024
181,7,3083,3083.0,Bushwick Ave & Powers St,40.71247661,-73.94100005
182,1,3085,3085.0,Roebling St & N 4 St,40.71469,-73.95739
183,6,3086,3086.0,Graham Ave & Conselyea St,40.715143,-73.944507
184,4,3090,3090.0,N 8 St & Driggs Ave,40.71774592,-73.95600096
185,6,3092,3092.0,Berry St & N 8 St,40.719,-73.959
186,4,3093,3093.0,N 6 St & Bedford Ave,40.716,-73.959
187,2,3094,3094.0,Graham Ave & Withers St,40.7169811,-73.94485918
188,2,3095,3095.0,Graham Ave & Herbert St,40.71929301,-73.94500379
189,7,3096,3096.0,Union Ave & N 12 St,40.71924,-73.95242
190,2,3101,3101.0,N 12 St & Bedford Ave,40.72079821,-73.956
191,2,3102,3102.0,Driggs Ave & Lorimer St,40.72179134,-73.9504154
192,5,3103,3103.0,N 11 St & Wythe Ave,40.72153267,-73.95782357
193,7,3105,3105.0,N 15 St & Wythe Ave,40.724055,-73.955736
194,2,3108,3108.0,Nassau Ave & Russell St,40.725,-73.94434
195,3,3109,3109.0,Banker St & Meserole Ave,40.72606,-73.95621
196,6,3112,3112.0,Milton St & Franklin St,40.728,-73.959
197,5,3115,3115.0,India St & Manhattan Ave,40.73232194,-73.9550858
198,3,3116,3116.0,Huron St & Franklin St,40.73266,-73.95826
199,3,3117,3117.0,Franklin St & Dupont St,40.73564,-73.959
200,2,3118,3118.0,McGuinness Blvd & Eagle St,40.73555,-73.953
201,4,3119,3119.0,Vernon Blvd & 50 Ave,40.74232744,-73.95411749
202,7,3120,3120.0,Center Blvd & Borden Ave,40.74161,-73.96044
203,5,3121,3121.0,Jackson Ave & 46 Rd,40.74524768,-73.94733276
204,2,3122,3122.0,48 Ave & 5 St,40.743,-73.956
205,6,3123,3123.0,31 St & Thomson Ave,40.74469738,-73.93540375
206,3,3124,3124.0,46 Ave & 5 St,40.74731,-73.95451
207,5,3126,3126.0,44 Dr & Jackson Ave,40.746,-73.944
208,7,3127,3127.0,9 St & 44 Rd,40.74966,-73.9521
209,5,3128,3128.0,21 St & 43 Ave,40.75052534,-73.94594845
210,5,3130,3130.0,21 St & Queens Plaza North,40.75325964,-73.94335788
211,5,3131,3131.0,E 68 St & 3 Ave,40.76712840349542,-73.96224617958067
212,4,3132,3132.0,E 59 St & Madison Ave,40.76350532,-73.97109243
213,5,3134,3134.0,3 Ave & E 62 St,40.76312584,-73.96526895
214,5,3135,3135.0,E 75 St & 3 Ave,40.77112927,-73.95772297
215,4,3136,3136.0,5 Ave & E 63 St,40.766368,-73.971518
216,5,3137,3137.0,5 Ave & E 72 St,40.77282817,-73.968
217,5,3139,3139.0,E 72 St & Park Ave,40.77,-73.965
218,3,3140,3140.0,1 Ave & E 78 St,40.77,-73.9535166
219,4,3141,3141.0,1 Ave & E 68 St,40.764,-73.959
220,5,3146,3146.0,E 81 St & 3 Ave,40.77573034,-73.9567526
221,2,3147,3147.0,E 85 St & 3 Ave,40.77801203,-73.95407149
222,3,3148,3148.0,E 84 St & 1 Ave,40.77565541,-73.95068615
223,5,3153,3153.0,E 71 St & 2 Ave,40.768175467422445,-73.95910263061523
224,5,3155,3155.0,Lexington Ave & E 63 St,40.76440023,-73.96648977
225,5,3156,3156.0,E 72 St & York Ave,40.76663814,-73.95348296
226,2,3158,3158.0,W 63 St & Broadway,40.77163851,-73.983
227,2,3161,3161.0,W 76 St & Columbus Ave,40.779,-73.97728532552718
228,2,3162,3162.0,W 78 St & Broadway,40.78339981,-73.98093133
229,2,3163,3163.0,Central Park West & W 68 St,40.7734066,-73.97782542
230,3,3164,3164.0,Columbus Ave & W 72 St,40.776,-73.98
231,7,3165,3165.0,Central Park West & W 72 St,40.77575319,-73.9762057363987
232,5,3166,3166.0,Riverside Dr & W 72 St,40.78057799010334,-73.986
233,3,3168,3168.0,Central Park West & W 85 St,40.78472675,-73.971
234,2,3171,3171.0,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
235,2,3172,3172.0,W 74 St & Columbus Ave,40.7785669,-73.97754961
236,2,3175,3175.0,W 70 St & Amsterdam Ave,40.776,-73.983
237,3,3176,3176.0,W 64 St & West End Ave,40.77452835,-73.98753759
238,7,3179,3179.0,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
239,1,3182,3182.0,Yankee Ferry Terminal,40.686931,-74.016966
240,6,3224,3224.0,W 13 St & Hudson St,40.73997354103409,-74.00513872504233
241,2,3226,3226.0,W 82 St & Central Park West,40.78275,-73.97137
242,6,3232,3232.0,Bond St & Fulton St,40.68962188790333,-73.98304268717766
243,4,3233,3233.0,E 48 St & 5 Ave,40.75724567911726,-73.978059142828
244,4,3235,3235.0,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882
245,3,3236,3236.0,PABT Valet,40.758,-73.995
246,3,3241,3241.0,Monroe St & Tompkins Ave,40.686203,-73.944694
247,6,3242,3242.0,Schermerhorn St & Court St,40.69102925677968,-73.992
248,6,3244,3244.0,University Pl & E 8 St,40.731,-73.995
249,6,3249,3249.0,Verona Pl & Fulton St,40.6803560840434,-73.9476791024208
250,1,3254,3254.0,Soissons Landing,40.69231660719192,-74.01486575603485
251,1,3256,3256.0,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
252,6,3258,3258.0,W 27 St & 10 Ave,40.75018156325683,-74.00218427181245
253,7,3259,3259.0,9 Ave & W 28 St,40.749370241932766,-73.99923384189604
254,1,3260,3260.0,Mercer St & Bleecker St,40.727063633483056,-73.99662137031555
255,6,3263,3263.0,Cooper Square & Astor Pl,40.72923649910006,-73.992
256,5,3282,3282.0,5 Ave & E 88 St,40.782,-73.95939
257,5,3284,3284.0,E 88 St & Park Ave,40.781410700190015,-73.95595908164978
258,5,3286,3286.0,E 89 St & 3 Ave,40.7806284,-73.953
259,3,3288,3288.0,E 88 St & 1 Ave,40.778301,-73.95
260,2,3290,3290.0,E 89 St & York Ave,40.7779453,-73.947
261,2,3293,3293.0,W 92 St & Broadway,40.7921,-73.9739
262,5,3294,3294.0,E 91 St & Park Ave,40.7835016,-73.955327
263,2,3295,3295.0,Central Park W & W 96 St,40.791,-73.965
264,7,3296,3296.0,E 93 St & 2 Ave,40.782454175279874,-73.9489196240902
265,1,3298,3298.0,Warren St & Court St,40.686371,-73.99383324
266,5,3299,3299.0,E 98 St & Park Ave,40.78813,-73.95206
267,2,3301,3301.0,Columbus Ave & W 95 St,40.791,-73.968087
268,7,3304,3304.0,6 Ave & 9 St,40.668127,-73.98377641
269,3,3305,3305.0,E 91 St & 2 Ave,40.78112229934166,-73.95
270,2,3306,3306.0,10 St & 7 Ave,40.6662078,-73.98199886
271,2,3307,3307.0,West End Ave & W 94 St,40.794,-73.974124
272,3,3308,3308.0,Kane St & Clinton St,40.6861758,-73.99645295
273,5,3309,3309.0,E 97 St & 3 Ave,40.7859201,-73.94860294
274,2,3310,3310.0,14 St & 7 Ave,40.663779,-73.98396846
275,3,3311,3311.0,Columbia St & Kane St,40.68763155,-74.0016256
276,3,3312,3312.0,1 Ave & E 94 St,40.7817212,-73.947
277,2,3314,3314.0,W 95 St & Broadway,40.7937704,-73.971888
278,3,3315,3315.0,Henry St & Degraw St,40.6847514,-73.99917254
279,2,3316,3316.0,W 104 St & Amsterdam Ave,40.7989937,-73.9662173778
280,1,3317,3317.0,10 St & 5 Ave,40.6686273,-73.98700053
281,6,3318,3318.0,2 Ave & E 96 St,40.7839636,-73.9471673
282,1,3319,3319.0,14 St & 5 Ave,40.665,-73.989
283,2,3320,3320.0,Central Park West & W 100 St,40.793393,-73.9635556
284,2,3321,3321.0,Clinton St & Union St,40.6831164,-73.99785267
285,1,3324,3324.0,3 Ave & 14 St,40.6685455,-73.99333264
286,2,3325,3325.0,E 95 St & 3 Ave,40.7849032,-73.950503
287,7,3326,3326.0,Clinton St & Centre St,40.67434,-74.00194698
288,2,3327,3327.0,3 Ave & E 100 St,40.7877214,-73.94728331
289,2,3328,3328.0,W 100 St & Manhattan Ave,40.794,-73.965
290,1,3329,3329.0,Degraw St & Smith St,40.6829151,-73.99318208
291,1,3330,3330.0,Henry St & Bay St,40.6725058,-74.00494695
292,1,3332,3332.0,Degraw St & Hoyt St,40.68199044270703,-73.99079024791716
293,1,3333,3333.0,Columbia St & Lorraine St,40.6747055,-74.0075572
294,1,3335,3335.0,Union St & 4 Ave,40.6772744,-73.98282002
295,5,3336,3336.0,E 97 St & Madison Ave,40.787801,-73.953559
296,7,3338,3338.0,2 Ave & E 99 St,40.7862586,-73.94552579
297,1,3339,3339.0,Berkeley Pl & 6 Ave,40.6765304,-73.97846879
298,1,3340,3340.0,Wolcott St & Dwight St,40.6753274,-74.0100698
299,1,3342,3342.0,Pioneer St & Richards St,40.6777748,-74.0094613
300,2,3343,3343.0,W 107 St & Columbus Ave,40.7997568,-73.9621128676
301,4,3345,3345.0,Madison Ave & E 99 St,40.788,-73.953
