station_name,latitude,longitude,station_start_year,rollout_cluster
LaGuardia Pl & W 3 St,40.728,-73.99810231,2013-01-01T00:00:00,1
W 4 St & 7 Ave S,40.734,-74.004,2013-01-01T00:00:00,1
5 Ave & E 29 St,40.7451677,-73.98683077,2013-01-01T00:00:00,1
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2013-01-01T00:00:00,1
W 33 St & 7 Ave,40.75019995,-73.99093085,2013-01-01T00:00:00,1
W 20 St & 8 Ave,40.74345335,-74.00004031,2013-01-01T00:00:00,1
Greenwich St & Warren St,40.71542197,-74.01121978,2013-01-01T00:00:00,1
Cadman Plaza West & Montague St,40.69383,-73.990539,2013-01-01T00:00:00,1
Monroe St & Bedford Ave,40.6851443,-73.95380904,2013-01-01T00:00:00,1
NYCBS Depot - DEL,40.716633,-73.981933,2013-01-01T00:00:00,1
Mott St & Prince St,40.722,-73.995,2013-01-01T00:00:00,1
NYCBS Depot - FAR,40.751483,-73.996764,2013-01-01T00:00:00,1
W 29 St & 9 Ave,40.7500727,-73.99839279,2013-01-01T00:00:00,1
E 48 St & 3 Ave,40.7546011,-73.97187886,2013-01-01T00:00:00,1
State St,40.70251526,-74.01427023,2013-01-01T00:00:00,1
Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2013-01-01T00:00:00,1
MacDougal St & Prince St,40.72710258,-74.00297088,2013-01-01T00:00:00,1
S 5 Pl & S 5 St,40.710451,-73.960876,2013-01-01T00:00:00,1
W 21 St & 6 Ave,40.74173969,-73.995,2013-01-01T00:00:00,1
11 Ave & W 41 St,40.76030096,-73.99884222,2013-01-01T00:00:00,1
DeKalb Ave & Skillman St,40.6906495,-73.95643107,2013-01-01T00:00:00,1
E 25 St & 2 Ave,40.73912601,-73.98,2013-01-01T00:00:00,1
Jay St & Tech Pl,40.695065,-73.987167,2013-01-01T00:00:00,1
Fulton St & Washington Ave,40.683048,-73.964915,2013-01-01T00:00:00,1
Broadway & W 49 St,40.76064679,-73.986,2013-01-01T00:00:00,1
E 51 St & Lexington Ave,40.75714758,-73.97207836,2013-01-01T00:00:00,1
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2013-01-01T00:00:00,1
NYCBS Test,40.6466068,-74.01597,2013-01-01T00:00:00,1
12 Ave & W 40 St,40.76087502,-74.004,2013-01-01T00:00:00,1
8 Ave & W 31 St N,40.750967348715982,-73.994442075490952,2013-01-01T00:00:00,1
Monroe St & Classon Ave,40.6845683,-73.95881081,2013-01-01T00:00:00,1
3 Ave & Schermerhorn St,40.68683208,-73.9796772,2013-01-01T00:00:00,1
Bedford Ave & S 9 St,40.70853074,-73.96408963,2013-01-01T00:00:00,1
Ashland Pl & Hanson Pl,40.685226719472553,-73.97805813,2013-01-01T00:00:00,1
Broad St & Bridge St,40.70365182,-74.013,2013-01-01T00:00:00,1
E 47 St & 2 Ave,40.75323098,-73.97032517,2013-01-01T00:00:00,1
E 30 St & Park Ave S,40.743,-73.98303529,2013-01-01T00:00:00,1
Greenwich St & North Moore St,40.720152270232852,-74.010365009307861,2013-01-01T00:00:00,1
Maiden Ln & Pearl St,40.70706456,-74.00731853,2013-01-01T00:00:00,1
Warren St & Church St,40.71473993,-74.00910627,2013-01-01T00:00:00,1
Howard St & Centre St,40.719,-74.001,2013-01-01T00:00:00,1
West Thames St,40.70834698,-74.01713445,2013-01-01T00:00:00,1
E 56 St & 3 Ave,40.75934501,-73.96759673,2013-01-01T00:00:00,1
E 45 St & 3 Ave,40.752,-73.974,2013-01-01T00:00:00,1
Front St & Gold St,40.70224,-73.982578,2013-01-01T00:00:00,1
E 6 St & Avenue D,40.722,-73.977,2013-01-01T00:00:00,1
Barrow St & Hudson St,40.73172428,-74.00674436,2013-01-01T00:00:00,1
E 11 St & 2 Ave,40.73047309,-73.98672378,2013-01-01T00:00:00,1
Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2013-01-01T00:00:00,1
W 13 St & 5 Ave,40.73543934,-73.99453948,2013-01-01T00:00:00,1
Broadway & W 58 St,40.76695317,-73.98169333,2013-01-01T00:00:00,1
Broadway & W 37 St,40.75172632,-73.989,2013-01-01T00:00:00,1
Macon St & Nostrand Ave,40.6809833854,-73.95004798,2013-01-01T00:00:00,1
Lafayette Ave & Classon Ave,40.689,-73.96023854,2013-01-01T00:00:00,1
Sands St & Gold St,40.69986937,-73.98271933,2013-01-01T00:00:00,1
Harrison St & Hudson St,40.71870987,-74.01,2013-01-01T00:00:00,1
W 45 St & 6 Ave (1),40.7568001,-73.98291153,2013-01-01T00:00:00,1
Duffield St & Willoughby St,40.692,-73.9842844,2013-01-01T00:00:00,1
E 51 St & 1 Ave,40.75455731,-73.96592976,2013-01-01T00:00:00,1
Division St & Bowery,40.71413089,-73.9970468,2013-01-01T00:00:00,1
Lawrence St & Willoughby St,40.692,-73.98631746,2013-01-01T00:00:00,1
Broadway & W 60 St,40.76915505,-73.983,2013-01-01T00:00:00,1
Broadway & E 14 St,40.734,-73.992,2013-01-01T00:00:00,1
Rivington St & Ridge St,40.71850211,-73.98329859,2013-01-01T00:00:00,1
Stanton St & Chrystie St,40.72229346,-73.99147535,2013-01-01T00:00:00,1
