,station_name,latitude,longitude,station_start_year,rollout_cluster
75,W 13 St & 6 Ave,40.73649403,-73.99704374,2013-01-01T00:00:00,2013
76,Gallatin Pl & Livingston St,40.69028437,-73.98707105,2013-01-01T00:00:00,2013
77,Church St & Leonard St,40.71743998,-74.00583475,2013-01-01T00:00:00,2013
78,Lafayette St & E 8 St,40.730206605299536,-73.992,2013-01-01T00:00:00,2013
79,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,2013-01-01T00:00:00,2013
80,W 45 St & 8 Ave,40.75929124,-73.98859651,2013-01-01T00:00:00,2013
81,Washington Pl & Broadway,40.728,-73.995,2013-01-01T00:00:00,2013
82,E 43 St & 2 Ave,40.75022392,-73.97121414,2013-01-01T00:00:00,2013
83,Duane St & Greenwich St,40.71748752,-74.0104554,2013-01-01T00:00:00,2013
84,Perry St & Bleecker St,40.73535398,-74.00483091,2013-01-01T00:00:00,2013
85,E 37 St & Lexington Ave,40.44535,-73.978462,2013-01-01T00:00:00,2013
86,2 Ave & E 58 St,40.76020258,-73.96478473,2013-01-01T00:00:00,2013
87,E 47 St & Park Ave,40.755,-73.97498696,2013-01-01T00:00:00,2013
88,9 Ave & W 22 St,40.7454973,-74.00197139,2013-01-01T00:00:00,2013
89,Lafayette Ave & St James Pl,40.68851534,-73.9647628,2013-01-01T00:00:00,2013
90,W 54 St & 9 Ave,40.76584941,-73.98690506,2013-01-01T00:00:00,2013
91,E 39 St & 3 Ave,40.7489006,-73.977,2013-01-01T00:00:00,2013
92,7 Ave & Farragut St,40.69892054,-73.97332996,2013-01-01T00:00:00,2013
93,Broadway & W 51 St,40.761,-73.98336183,2013-01-01T00:00:00,2013
94,W 26 St & 10 Ave,40.749,-74.004,2013-01-01T00:00:00,2013
95,Fulton St & Waverly Ave,40.68317813,-73.96599590778352,2013-01-01T00:00:00,2013
96,Liberty St & Broadway,40.70905623,-74.01043382,2013-01-01T00:00:00,2013
97,Cherry St,40.71219906,-73.98,2013-01-01T00:00:00,2013
98,Pershing Square S,40.75149263,-73.97798848,2013-01-01T00:00:00,2013
99,Greenwich Ave & 8 Ave,40.73901691,-74.004,2013-01-01T00:00:00,2013
